trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
52,False,"{'a': 0.95, 'e': 0.0003631873320258589}",30,0,38.89955155660985,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.95, 'e': 0.0003497298337034641}",30,6,-16.17861395984131,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.95, 'e': 0.000337006706433458}",25,9,21.57643174424183,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.00032496547241855553}",20,4,12.138649536516276,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.00031355825912454536}",30,0,24.694161944181563,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.95, 'e': 0.0003027413226768388}",35,0,-75.4844325195594,"{0: 30, 1: 1, 2: 1, 3: 1, 4: 2}",0
58,False,"{'a': 0.95, 'e': 0.0002924746278260361}",25,0,22.69171078475672,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.95, 'e': 0.0002827214769369955}",20,0,26.39850661625956,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.95, 'e': 0.00027344818156959256}",25,0,39.84265266212537,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.95, 'e': 0.0002646237711533627}",30,18,19.224682371648615,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.00025621973404391606}",25,7,-32.09660598529583,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.95, 'e': 0.00024820978691189794}",35,17,22.77066771843794,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.00024056966897613547}",20,10,15.416340276474315,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.0002332769580684668}",20,0,-15.147476294930806,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.95, 'e': 0.00022631090592255642}",30,2,-4.842210496571629,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.95, 'e': 0.0002196522904242584}",20,7,24.13704034342807,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.0002132832828562897}",25,17,14.731469857600679,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.95, 'e': 0.00020718732842299364}",20,0,-16.312930390761323,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.95, 'e': 0.00020134903855834087}",30,16,-17.684207490045925,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.95, 'e': 0.00019575409370748467}",30,0,-6.786961746311659,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
72,False,"{'a': 0.95, 'e': 0.0001903891554337065}",25,9,7.744020866732871,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.00018524178684227588}",20,4,13.54654239642686,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.0001803003804338027}",20,0,5.453971742946643,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.95, 'e': 0.00017555409260478386}",35,0,-5.671880800684442,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.95, 'e': 0.0001709927841045108}",25,17,0.6884637840629568,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
